ID,Category,Status,Latitude,Longitude,category_encoded,status_encoded,density_score,category_frequency,is_pending,priority_label,created_at,closed_at,days_open,resolution_days,outcome_label_reason,same_category_neighbors,data_source,priority_score_eq1,label_source
69126904,Drainage,Pending,40.735149591323975,-73.87528440236768,0,2,0.0010693925376154,300,1,1,2026-05-26 21:49:00+00:00,,7.278575660613426,,unresolved_between_7_and_30_days,0,nyc_open_data,0.6200000000000001,Equation 1 synthetic scoring transfer
69172057,Waste,Completed,40.82299690943571,-73.90979126697007,3,1,0.0013216710521063,1369,0,0,2026-05-29 18:05:26+00:00,2026-05-30 14:46:41+00:00,4.433830290243056,0.8619791666666666,resolved_within_7_days,2,nyc_open_data,0.23,Equation 1 synthetic scoring transfer
69173917,Water Supply,Completed,40.67111378892755,-73.97806063883692,4,1,1.0,1500,0,2,2026-05-30 15:45:00+00:00,2026-05-30 15:48:00+00:00,3.5313534383912035,0.0020833333333333,resolved_within_7_days,38,nyc_open_data,0.7,Equation 1 synthetic scoring transfer
69108843,Drainage,Pending,40.654882431881674,-73.9618803533782,0,2,0.0014547239743967,300,1,1,2026-05-24 11:05:00+00:00,,9.725797882835648,,unresolved_between_7_and_30_days,1,nyc_open_data,0.6200000000000001,Equation 1 synthetic scoring transfer
69175612,Pothole,Completed,40.80505736609213,-73.93903422529588,1,1,0.0006981440153116,1500,0,0,2026-05-30 22:54:26+00:00,2026-05-30 22:54:26+00:00,3.233135845798611,0.0,resolved_within_7_days,1,nyc_open_data,0.24,Equation 1 synthetic scoring transfer
56427610,Streetlight,Pending,40.57799452613772,-73.95963472224898,2,2,0.0007917962096532,800,1,1,2023-01-03 09:56:00+00:00,2022-12-30 09:56:00+00:00,1246.773714549502,0.0,unresolved_after_30_days,0,nyc_open_data,0.46,Equation 1 synthetic scoring transfer
69123690,Drainage,Pending,40.63998308678095,-74.13185585333324,0,2,0.0001376408359352,300,1,1,2026-05-26 15:38:00+00:00,,7.536214549502315,,unresolved_between_7_and_30_days,0,nyc_open_data,0.6200000000000001,Equation 1 synthetic scoring transfer
69104515,Waste,Pending,40.87453595377186,-73.87611497155858,3,2,0.0276548123809802,1369,1,1,2026-05-23 08:30:07+00:00,,10.83335575320602,,unresolved_between_7_and_30_days,5,nyc_open_data,0.53,Equation 1 synthetic scoring transfer
69123685,Drainage,Pending,40.71704870675368,-73.75976659310271,0,2,0.0006873072576426,300,1,1,2026-05-26 15:07:00+00:00,,7.557742327280093,,unresolved_between_7_and_30_days,0,nyc_open_data,0.6200000000000001,Equation 1 synthetic scoring transfer
56432559,Streetlight,Pending,40.67135641425494,-73.96133741215672,2,2,0.0022822713674304,800,1,1,2023-01-03 10:03:00+00:00,2022-12-30 10:03:00+00:00,1246.768853438391,0.0,unresolved_after_30_days,3,nyc_open_data,0.46,Equation 1 synthetic scoring transfer
