cluster_id,complaint_count,avg_density_score,pending_ratio,dominant_category,high_priority_ratio,center_lat,center_lng,risk_score,risk_level
-1,150,0.015468824747091967,0.47333333333333333,Pothole,0.05333333333333334,23.260112083636244,77.41294303071676,0.16418752989883678,LOW
0,409,0.2759381406725656,0.4792176039119804,Waste,0.15158924205378974,23.259967086580637,77.41251309483673,0.2996173100587573,LOW
1,4,0.0260461051548109,0.5,Pothole,0.25,23.252942403700587,77.41291118649016,0.23541844206192436,LOW
2,362,0.2471085586874193,0.5082872928176796,Waste,0.1574585635359116,23.27019798185359,77.43015731357272,0.29856718038104507,LOW
3,314,0.2359370322027931,0.4968152866242038,Waste,0.1624203821656051,23.250025521329558,77.40002703205977,0.2921455135180599,LOW
4,264,0.2012688816248038,0.49242424242424243,Waste,0.05303030303030303,23.239944072012754,77.42010045339072,0.24414391628628515,LOW
5,3,0.018559994781916833,0.3333333333333333,Drainage,0.0,23.27393610579691,77.41652550561057,0.10742399791276673,LOW
6,13,0.028603991598561616,0.6153846153846154,Pothole,0.0,23.271188467221656,77.40589921981832,0.19605698125480928,LOW
7,9,0.028458476934515513,0.4444444444444444,Pothole,0.1111111111111111,23.24259147635116,77.40701099435705,0.17805005744047286,LOW
8,8,0.0330792559449629,0.75,Waste,0.0,23.26804115608889,77.38789922155296,0.23823170237798513,LOW
9,3,0.024072671375874932,0.3333333333333333,Pothole,0.0,23.234460007465085,77.39539297046726,0.10962906855034997,LOW
10,3,0.02034021221941223,0.6666666666666666,Waste,0.0,23.276134644253972,77.3984793209885,0.2081360848877649,LOW
11,4,0.023071379377819425,0.75,Waste,0.0,23.274784668050675,77.39242739942871,0.23422855175112775,LOW
12,3,0.031277964311829234,0.3333333333333333,Streetlight,0.3333333333333333,23.23936559291276,77.41060438398698,0.21251118572473168,LOW
13,3,0.029111511858678604,0.6666666666666666,Waste,0.0,23.265363196419745,77.39949805327198,0.21164460474347144,LOW
14,4,0.02271372561228035,0.5,Waste,0.0,23.26146751624897,77.3934358506489,0.15908549024491214,LOW
15,4,0.06658778625456716,0.5,Pothole,0.0,23.279041886903745,77.41933874950466,0.17663511450182687,LOW
16,3,0.030142134872893033,0.3333333333333333,Drainage,0.0,23.27006582557908,77.43767060808538,0.11205685394915721,LOW
17,3,0.024415168261266936,0.3333333333333333,Pothole,0.3333333333333333,23.286023464617994,77.4167336565791,0.20976606730450675,LOW
18,5,0.05983594678825488,0.4,Drainage,0.0,23.24918274937727,77.43242931367713,0.14393437871530196,LOW
19,3,0.0135463591450366,1.0,Pothole,0.0,23.256384997665805,77.3900516831677,0.30541854365801463,MEDIUM
20,3,0.021661207331435336,1.0,Pothole,0.3333333333333333,23.244877369606883,77.4384980936678,0.4086644829325741,MEDIUM
21,3,0.0077387159336076,0.3333333333333333,Waste,0.0,23.289358133817313,77.38445174712223,0.10309548637344303,LOW
22,3,0.020780132374569268,0.6666666666666666,Pothole,0.0,23.281483370172154,77.42678840025552,0.2083120529498277,LOW
23,4,0.03457934902617552,0.0,Waste,0.0,23.280998509904038,77.39227842053366,0.01383173961047021,LOW
24,4,0.028195795893284175,0.5,Streetlight,0.0,23.288630559646005,77.43221898160385,0.16127831835731365,LOW
25,3,0.027823706045372498,0.6666666666666666,Drainage,0.3333333333333333,23.278517338226024,77.4392272593507,0.311129482418149,MEDIUM
26,3,0.0150616150380868,0.6666666666666666,Waste,0.0,23.238983049605636,77.3889525980319,0.2060246460152347,LOW
27,3,0.0203076113315812,0.6666666666666666,Drainage,0.0,23.27677820608008,77.42174195550146,0.20812304453263247,LOW
